checkpoint,checkpoint_step,checkpoint_sha256,case_id,split,metric_name,t2_present,dice,hd95_voxels,exact_hd_voxels,infinite_hd,lesion_recall,gt_component_count,pred_component_count,remote_fp_count_known_bug_old_definition,volume_ratio,empty_gt,empty_pred,nnunet_dice,dice_delta_vs_nnunet,nnunet_hd95_voxels,help_vs_nnunet,harm_vs_nnunet
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2016,inner_select,edema_zone,1.000000000,0.574229180,8.000000000,19.209372712,False,1.000000000,1,1,0,1.902441614,False,False,0.886909288,-0.312680109,1.414213562,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2018,inner_select,scar,1.000000000,0.195901920,46.216880033,52.896124622,False,1.000000000,1,3,0,3.292970188,False,False,0.919712176,-0.723810255,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2018,inner_select,pure_edema,1.000000000,0.137720096,15.588457268,31.968734726,False,0.133333333,15,24,0,1.047562627,False,False,0.887530562,-0.749810466,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2018,inner_select,edema_zone,1.000000000,0.450291095,23.495743838,37.416573868,False,1.000000000,1,1,0,1.771380709,False,False,0.939032936,-0.488741841,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2019,inner_select,scar,1.000000000,0.302401890,11.614567002,28.354893758,False,1.000000000,1,2,0,5.613715278,False,False,0.926784902,-0.624383012,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2019,inner_select,pure_edema,1.000000000,0.167984934,6.480740698,106.873757303,False,0.200000000,5,5,0,0.620879121,False,False,0.846191013,-0.678206079,2.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2019,inner_select,edema_zone,1.000000000,0.641064946,5.385164807,106.873757303,False,1.000000000,1,2,0,1.799232159,False,False,0.890104662,-0.249039717,2.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2021,inner_select,scar,1.000000000,0.531396648,152.237971602,157.448404247,False,1.000000000,1,8,0,2.349550898,False,False,0.902661899,-0.371265251,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2021,inner_select,pure_edema,1.000000000,0.184663132,156.081228588,165.145390490,False,0.250000000,4,13,0,1.974230769,False,False,0.844979343,-0.660316211,2.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2021,inner_select,edema_zone,1.000000000,0.595887650,154.931275070,165.145390490,False,1.000000000,1,5,0,1.822837633,False,False,0.928591642,-0.332703993,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2023,inner_select,scar,1.000000000,0.413302614,31.953090617,39.862262856,False,1.000000000,1,5,0,2.854440154,False,False,0.880338592,-0.467035977,1.000000000,False,True
