case_id,center,metric_name,best_case_model,nnunet_dice,mosaic_dice,case_oracle_dice,union_prediction_dice,voxel_tp_oracle_dice,unique_recovery_mosaic_over_nnunet_fraction,unique_recovery_nnunet_over_mosaic_fraction
Case3044,CenterC,pure_edema,nnunet_oof,0.16612529002320187,0.10530035335689046,0.16612529002320187,0.10859221942345368,0.849015317286652,0.057034220532319393,0.17110266159695817
Case3044,CenterC,lesion_union,mosaic_clean_oof,0.849305903997324,0.8614214019750688,0.8614214019750688,0.8593398058252427,0.9557705597788528,0.07511581733951025,0.034910655195234945
Case5005,CenterE,scar,nnunet_oof,0.5725747629467542,0.05120798319327731,0.5725747629467542,0.48180379746835444,0.6074055604039397,0.01450313339301701,0.40125335720680394
Case5005,CenterE,lesion_union,nnunet_oof,0.5725747629467542,0.07164956847418986,0.5725747629467542,0.3560280787841614,0.6373063315847262,0.046016114592658905,0.38889883616830795
Case6001,CenterF,scar,nnunet_oof,0.44598337950138506,0.29631828978622327,0.44598337950138506,0.4192553948304482,0.7146321746160065,0.1509433962264151,0.24213836477987422
Case6001,CenterF,lesion_union,nnunet_oof,0.44598337950138506,0.3215728521411258,0.44598337950138506,0.4191111111111111,0.7445716541650217,0.18805031446540882,0.21761006289308177
Case6010,CenterF,scar,nnunet_oof,0.49259110933119743,0.04835924006908463,0.49259110933119743,0.40741885625965996,0.5942290351668169,0.028223220012828735,0.3867864015394484
Case6010,CenterF,lesion_union,nnunet_oof,0.49259110933119743,0.15982770346860123,0.49259110933119743,0.24386149003147953,0.8540977581771407,0.35086593970493907,0.2931366260423348
Case7005,CenterG,scar,nnunet_oof,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Case7005,CenterG,lesion_union,nnunet_oof,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Case8003,CenterH,scar,mosaic_clean_oof,0.7172976649285876,0.7372156126069714,0.7372156126069714,0.7490118577075099,0.8894625674724244,0.13229078613693998,0.05452240067624683
Case8003,CenterH,lesion_union,nnunet_oof,0.7172976649285876,0.23310690025026815,0.7172976649285876,0.23504251743978818,0.9875909285408644,0.30684699915469144,0.01098901098901099
Case8011,CenterH,scar,mosaic_clean_oof,0.22406639004149378,0.2871452420701169,0.2871452420701169,0.29983525535420097,0.6880907372400756,0.3688760806916426,0.02881844380403458
Case8011,CenterH,lesion_union,nnunet_oof,0.22406639004149378,0.07731718677224034,0.22406639004149378,0.07995041834521227,0.8528925619834711,0.5878962536023055,0.025936599423631124
Case8015,CenterH,scar,nnunet_oof,0.46925795053003533,0.38645418326693226,0.46925795053003533,0.4942940984675579,0.608346709470305,0.05420991926182238,0.157439446366782
Case8015,CenterH,lesion_union,nnunet_oof,0.46925795053003533,0.22982236308690204,0.46925795053003533,0.22933215651662253,0.9468569693288794,0.5161476355247981,0.0
Case8019,CenterH,scar,nnunet_oof,0.6588021778584392,0.627172195892575,0.6588021778584392,0.5606469002695418,0.9753810082063306,0.12128146453089245,0.043478260869565216
Case8019,CenterH,lesion_union,nnunet_oof,0.6588021778584392,0.12337098175499565,0.6588021778584392,0.12351339733486173,0.9930875576036866,0.15560640732265446,0.011441647597254004
Case8021,CenterH,scar,nnunet_oof,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case8021,CenterH,lesion_union,mosaic_clean_oof,0.0,0.020572604148808505,0.020572604148808505,0.020572604148808505,1.0,1.0,0.0
Case8022,CenterH,scar,mosaic_clean_oof,0.6748560460652591,0.7003968253968254,0.7003968253968254,0.6969887076537014,0.8941649899396378,0.16885007278020378,0.03784570596797671
